region,state,month,revenue,units,discount_pct
West,CA,Sep,19390.58,806,0.132
North,NY,Jul,57581.47,783,0.274
South,TX,Aug,45039.42,392,0.137
East,MA,Sep,27697.07,827,0.268
West,CA,Jul,29864.42,450,0.249
North,NY,Aug,11929.38,773,0.119
South,TX,Sep,41006.39,279,0.222
East,MA,Jul,39459.8,479,0.162
West,CA,Aug,76910.11,656,0.053
North,NY,Sep,17179.17,545,0.264
South,TX,Jul,32516.4,102,0.066
East,MA,Aug,14618.21,242,0.17
West,CA,Sep,87313.28,746,0.253
North,NY,Jul,43819.6,675,0.164
South,TX,Aug,73045.03,166,0.1
East,MA,Sep,31891.54,187,0.27
West,CA,Jul,16775.99,729,0.196
North,NY,Aug,17795.95,744,0.127
South,TX,Sep,66976.24,580,0.23
East,MA,Jul,51724.34,863,0.138
West,CA,Aug,38035.23,420,0.202
North,NY,Sep,49492.96,630,0.241
South,TX,Jul,15797.48,712,0.274
East,MA,Aug,42848.44,762,0.105
West,CA,Sep,10309.46,467,0.25
North,NY,Jul,81091.75,634,0.192
South,TX,Aug,51908.49,807,0.003
East,MA,Sep,18794.16,510,0.275
West,CA,Jul,29657.63,246,0.297
North,NY,Aug,40041.78,251,0.096
South,TX,Sep,41146.16,621,0.088
East,MA,Jul,87580.82,140,0.141
West,CA,Aug,68461.61,390,0.194
North,NY,Sep,72074.8,263,0.274
South,TX,Jul,70250.81,97,0.175
East,MA,Aug,82743.59,117,0.094
West,CA,Sep,25809.94,447,0.065
North,NY,Jul,28832.7,814,0.142
South,TX,Aug,50688.81,532,0.055
East,MA,Sep,32484.95,256,0.273
West,CA,Jul,84988.13,721,0.164
North,NY,Aug,75370.27,570,0.256
South,TX,Sep,48780.81,492,0.274
East,MA,Jul,37366.0,640,0.232
West,CA,Aug,17393.53,306,0.12
North,NY,Sep,27393.61,217,0.24
South,TX,Jul,40798.12,620,0.238
East,MA,Aug,71933.64,886,0.297
West,CA,Sep,62604.26,323,0.268
North,NY,Jul,79924.07,460,0.135
South,TX,Aug,29724.26,511,0.182
East,MA,Sep,22583.23,240,0.232
West,CA,Jul,21579.12,608,0.039
North,NY,Aug,69334.0,714,0.08
South,TX,Sep,52766.12,234,0.172
East,MA,Jul,24263.94,289,0.246
West,CA,Aug,77694.63,211,0.025
North,NY,Sep,31593.66,813,0.158
South,TX,Jul,81172.34,790,0.141
East,MA,Aug,86439.52,680,0.163
West,CA,Sep,50477.5,99,0.237
North,NY,Jul,43357.64,778,0.027
South,TX,Aug,76106.09,293,0.011
East,MA,Sep,43051.96,586,0.047
West,CA,Jul,76560.73,398,0.095
North,NY,Aug,42436.91,649,0.092
South,TX,Sep,47378.11,812,0.02
East,MA,Jul,15947.58,223,0.032
West,CA,Aug,41538.91,552,0.224
North,NY,Sep,72753.51,204,0.196
South,TX,Jul,10987.86,466,0.214
East,MA,Aug,48020.5,380,0.169
West,CA,Sep,46647.03,90,0.257
North,NY,Jul,77560.6,816,0.062
South,TX,Aug,59285.34,377,0.188
East,MA,Sep,84995.97,847,0.089
West,CA,Jul,36991.17,481,0.167
North,NY,Aug,16954.06,273,0.06
South,TX,Sep,68515.5,417,0.093
East,MA,Jul,31904.57,561,0.217
West,CA,Aug,36532.68,471,0.028
North,NY,Sep,21265.8,176,0.039
South,TX,Jul,60431.39,263,0.054
East,MA,Aug,42182.32,554,0.178
West,CA,Sep,17208.03,312,0.01
North,NY,Jul,88993.14,524,0.122
South,TX,Aug,15814.6,517,0.278
East,MA,Sep,21124.31,290,0.23
West,CA,Jul,75688.64,475,0.145
North,NY,Aug,83705.97,717,0.005
South,TX,Sep,42056.65,796,0.095
East,MA,Jul,73100.43,330,0.198
West,CA,Aug,58688.32,98,0.078
North,NY,Sep,25100.8,394,0.195
South,TX,Jul,18502.23,466,0.061
East,MA,Aug,36620.41,380,0.248
West,CA,Sep,58914.98,242,0.076
North,NY,Jul,53107.05,385,0.164
South,TX,Aug,38204.88,592,0.154
East,MA,Sep,55932.46,282,0.296
West,CA,Jul,51282.91,812,0.212
North,NY,Aug,84872.76,660,0.283
South,TX,Sep,60169.23,282,0.233
East,MA,Jul,20902.04,569,0.173
West,CA,Aug,65768.11,417,0.028
North,NY,Sep,79800.86,352,0.139
South,TX,Jul,19922.17,827,0.041
East,MA,Aug,82324.59,636,0.164
West,CA,Sep,15086.97,350,0.051
North,NY,Jul,69657.64,422,0.18
South,TX,Aug,19812.24,83,0.087
East,MA,Sep,81760.65,326,0.227
West,CA,Jul,39047.96,249,0.056
North,NY,Aug,53828.54,158,0.136
South,TX,Sep,42271.22,881,0.296
East,MA,Jul,85155.57,754,0.041
West,CA,Aug,70488.43,835,0.272
